trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
42,PLR122,anticipated_w,post,1003,4812,14,0,NaN,1315.6454,27.4962,-42.9911,-27.0132,69.5047,-27.3438
43,PLR122,anticipated_w,post,1003,4812,15,1,6338,1112.5259,130.0934,84.8642,24.0434,119.6737,161.5058
44,PLR122,anticipated_w,post,1002,4808,16,0,NaN,1333.0534,-69.4083,-44.3036,-76.0408,-58.9315,27.7879
45,PLR122,unexpected_w,post,1002,4808,15,0,NaN,1177.45,-93.7013,33.5022,148.1593,252.6299,277.2564
46,PLR122,anticipated_b,post,1003,4810,15,0,NaN,1173.0398,101.9265,214.8362,210.8656,510.3992,588.73
47,PLR122,anticipated_b,post,1002,4810,16,0,NaN,1909.202,24.5506,-33.5558,-13.0654,-37.1894,-18.3607
48,PLR122,unexpected_w,post,1003,4810,16,0,NaN,1417.1952,198.6076,101.427,149.9392,258.1283,257.2889
49,PLR122,anticipated_w,post,1003,4812,17,0,NaN,2039.1486,-134.1801,-3.9301,-25.9595,96.698,46.9546
50,PLR122,anticipated_b,post,1002,4810,17,0,NaN,1617.5857,121.7545,44.7177,201.9543,432.2211,485.7159
51,PLR122,unexpected_w,post,1003,4810,17,0,NaN,1581.7331,179.1636,198.1204,177.7795,97.1766,71.5447
52,PLR122,anticipated_b,post,1003,4812,18,1,6331,1702.6685,75.5514,-27.1827,-159.574,-12.032,69.3156
53,PLR122,anticipated_w,post,1003,4808,18,0,NaN,1394.8311,163.3697,181.6421,130.6269,211.7004,236.6213
54,PLR122,anticipated_b,post,1002,4810,19,0,NaN,1388.49,22.1129,186.5448,235.4049,417.6402,412.51
55,PLR122,unexpected_w,post,1002,4808,18,0,NaN,1380.053,115.0571,61.5835,159.0457,308.4343,332.0977
56,PLR122,anticipated_b,post,1002,4810,20,0,NaN,1242.2761,25.7963,-37.844,-93.5113,22.8962,78.1208
57,PLR122,anticipated_w,post,1002,4810,19,0,NaN,1385.8685,-58.3506,-141.2063,-219.0555,-83.15,-110.4479
58,PLR122,unexpected_w,post,1003,4810,19,0,NaN,1306.2151,-37.6709,-181.7606,-223.5744,23.1189,87.9515
59,PLR122,anticipated_w,post,1003,4810,20,0,NaN,1488.7052,43.5088,-147.7953,-99.3564,-29.6274,26.0647
60,PLR122,unexpected_w,post,1003,4810,20,0,NaN,1412.728,-89.1216,-88.3185,-6.1145,9.3056,-27.0772
1,PLR123,anticipated_b,pre,1001,4838,1,1,6441,3019.9367,-288.4107,180.8175,282.66,372.0486,400.6506
2,PLR123,anticipated_b,pre,1002,4810,2,1,6333,2738.9681,324.7388,433.7028,565.5067,747.2798,733.7382
3,PLR123,anticipated_b,pre,1002,4810,3,1,6331,2909.012,101.9817,388.0018,261.7086,602.0238,651.5436
4,PLR123,anticipated_w,pre,1003,4812,1,1,6339,3034.9442,116.8982,181.8934,-244.9012,-445.2825,-275.0077
5,PLR123,unexpected_b,pre,1003,4812,1,0,NaN,3013.7888,-7.3885,-208.8168,-62.5073,232.9233,200.6397
6,PLR123,anticipated_b,pre,1002,4808,4,1,6336,2293.1804,-82.5515,382.6788,522.0087,548.8553,708.4624
7,PLR123,anticipated_b,pre,1003,4812,5,1,6335,1922.0199,562.6566,912.7406,621.1776,942.4023,1030.1864
8,PLR123,anticipated_b,pre,1002,4810,6,1,6336,2392.3864,50.2285,194.5064,-362.7792,-29.1826,-59.6721
9,PLR123,anticipated_w,pre,1002,4810,2,1,6332,2623.4382,42.4861,163.1054,-46.8311,211.7256,237.8713
10,PLR123,anticipated_b,pre,1003,4810,7,1,6333,2183.5139,175.5001,-87.4251,-7.7576,414.5449,490.1845
11,PLR123,unexpected_b,pre,1003,4812,2,1,6336,2621.4777,-301.8201,-222.2597,-52.5911,154.2744,232.4667
12,PLR123,anticipated_w,pre,1003,4812,3,1,6406,2166.0438,-184.5788,169.8114,130.0612,77.3259,-18.0359
13,PLR123,unexpected_b,pre,1002,4810,3,0,NaN,2102.4542,403.9495,160.8645,75.8883,455.4219,490.7125
14,PLR123,anticipated_b,pre,1002,4808,8,1,6332,1493.1315,254.1808,482.9729,355.7152,445.6773,471.4876
15,PLR123,unexpected_b,pre,1002,4810,4,0,NaN,2734.4183,-157.3377,-763.7029,-863.7692,-315.4561,-234.5056
16,PLR123,anticipated_b,pre,1003,4812,9,1,6332,1989.5697,-187.9231,-374.758,-412.907,-136.4227,72.2477
17,PLR123,anticipated_w,pre,1002,4810,4,1,6326,1492.5378,9.4174,309.7353,201.1886,387.0273,544.2558
18,PLR123,anticipated_w,pre,1003,4812,5,0,NaN,2005.6534,51.9012,-228.3971,33.2332,141.4096,-109.7724
19,PLR123,unexpected_b,pre,1003,4808,5,0,NaN,1734.6348,-88.4604,179.1782,-89.0235,-69.6684,-11.0396
20,PLR123,anticipated_b,pre,1002,4810,10,0,NaN,2095.8787,8.4033,205.5363,190.3486,260.4427,448.1768
21,PLR123,unexpected_w,pre,1002,4814,6,0,NaN,2666.988,-414.299,-679.5506,-727.7616,-526.9166,-486.75
22,PLR123,anticipated_w,pre,1003,4810,6,0,NaN,2475.1076,181.114,-25.0105,92.384,212.2391,262.6067
23,PLR123,unexpected_w,pre,1002,4812,7,0,NaN,2176.315,142.3512,-16.7115,99.3195,272.0716,169.1215
24,PLR123,anticipated_w,pre,1002,4808,7,1,6334,2072.5976,59.3254,44.032,49.4465,193.5999,196.8706
25,PLR123,anticipated_w,pre,1003,4812,8,0,NaN,2306.6175,-301.0517,-623.5893,-472.2793,-454.3486,-545.2286
26,PLR123,anticipated_b,post,1403,5212,11,1,6791,2770.4,-215.4065,-204.3739,-123.3307,-192.0176,-291.4714
27,PLR123,anticipated_b,post,1002,4810,12,1,6333,2235.3347,-84.5123,-569.7537,-656.3165,-409.6897,-253.8188
28,PLR123,anticipated_b,post,1002,4808,13,0,NaN,2200.2271,177.7979,-155.9713,-26.8391,70.4704,90.0983
29,PLR123,unexpected_b,pre,1003,4808,8,0,NaN,2324.2778,-226.1666,-274.6489,-313.2064,-124.5299,-159.4206
30,PLR123,anticipated_b,post,1002,4810,14,1,6333,2535.2072,92.2979,-132.954,-286.4866,-183.0181,-191.0167
31,PLR123,anticipated_w,pre,1003,4812,9,0,NaN,1986.2669,-582.5926,-579.4089,-333.1449,-103.1514,-48.3542
32,PLR123,anticipated_b,post,1002,4810,15,0,NaN,1549.9472,247.3736,334.9899,493.6462,569.4962,587.902
33,PLR123,unexpected_w,pre,1003,4810,9,0,NaN,1724.0856,-250.5269,-50.7582,202.2021,58.2758,145.3668
34,PLR123,anticipated_w,pre,1002,4808,10,1,6335,2113.7092,213.3037,-228.5457,-741.1315,-530.5642,-391.6457
35,PLR123,anticipated_w,post,1003,4812,11,0,NaN,2279.4829,-39.5512,-152.5451,-432.0313,-583.19,-628.1099
36,PLR123,unexpected_b,pre,1002,4810,10,0,NaN,2340.0398,51.4938,-78.7533,-28.348,22.7291,136.7062
37,PLR123,anticipated_w,post,1003,4812,12,0,NaN,2183.9401,-137.4839,-688.2275,-670.888,-610.3603,-491.9163
38,PLR123,anticipated_b,post,1002,4810,16,0,NaN,2360.9913,96.5831,-410.8173,-771.3831,-608.2266,-512.3009
39,PLR123,anticipated_b,post,1003,4810,17,0,NaN,2057.4821,196.3513,247.8169,-447.8416,-694.4758,-569.5694
40,PLR123,anticipated_w,post,1002,4810,13,0,NaN,1715.6494,343.8926,389.5227,690.2876,906.5838,893.0649
41,PLR123,anticipated_b,post,1002,4810,18,1,6335,2584.1235,289.9312,133.769,48.402,163.4878,274.2257
42,PLR123,anticipated_w,post,1003,4810,14,0,NaN,2093.239,-93.4643,286.4415,358.7526,118.8765,189.8562
43,PLR123,unexpected_w,post,1003,4810,11,0,NaN,2096.5562,465.1541,444.4197,99.4833,146.5877,162.3803
44,PLR123,anticipated_b,post,1002,4808,19,0,NaN,2404.8924,41.0894,-208.5357,-496.6696,-274.236,-170.4718
45,PLR123,unexpected_w,post,1002,4810,12,0,NaN,2297.1952,145.7722,139.3687,-3.988,344.1514,412.527
46,PLR123,anticipated_w,post,1002,4810,15,1,6338,3115.781,148.6945,62.0634,-300.2947,-151.384,-43.7414
